lambda,m,0,1,2,3,4
0.3,0.1,2346.3262,3400.2222,224.90723,1321.5781,0.0
0.3,0.5,2210.6514,3510.2554,314.8047,501.76367,1363.6836
0.3,1.0,2197.1255,3515.8384,0.0,0.0,2140.121
0.9,0.1,530.1079,723.5371,726.31934,6352.588,23738.945
0.9,0.5,468.3872,765.73926,831.5244,6132.5273,23969.945
0.9,1.0,469.89844,782.92676,795.69336,6034.172,23981.523
1.2,0.1,283.96045,363.73047,861.86426,7016.836,26110.014
1.2,0.5,236.45361,396.0537,942.1631,6852.041,26271.908
1.2,1.0,235.99463,410.33496,913.8623,6780.455,26282.535
1.5,0.1,134.28369,145.84375,949.8779,7415.824,27470.498
1.5,0.5,95.552734,172.19336,1014.81445,7283.717,27595.21
1.5,1.0,95.20361,183.60254,992.9492,7225.3086,27606.592
1.8,0.1,33.441406,0.0,1011.0254,7681.8594,28351.908
1.8,0.5,1.0761719,22.088867,1066.0625,7570.8867,28453.693
1.8,1.0,0.0,32.26758,1047.4922,7522.1426,28464.271
