lambda,m,0,1,2,3,4
0.3,0.1,3995.6963,5987.723,14980.355,24617.963,57438.586
0.3,0.5,4131.371,5877.69,14890.458,25437.777,56074.902
0.3,1.0,4144.897,5872.107,15205.263,25939.541,55298.465
0.9,0.1,5811.9146,8664.408,14478.943,19586.953,33699.64
0.9,0.5,5873.6353,8622.206,14373.738,19807.014,33468.64
0.9,1.0,5872.124,8605.019,14409.569,19905.37,33457.062
1.2,0.1,6058.062,9024.215,14343.398,18922.705,31328.572
1.2,0.5,6105.569,8991.892,14263.1,19087.5,31166.678
1.2,1.0,6106.028,8977.61,14291.4,19159.086,31156.05
1.5,0.1,6207.739,9242.102,14255.385,18523.717,29968.088
1.5,0.5,6246.4697,9215.752,14190.448,18655.824,29843.375
1.5,1.0,6246.819,9204.343,14212.313,18714.232,29831.994
1.8,0.1,6308.581,9387.945,14194.237,18257.682,29086.678
1.8,0.5,6340.9463,9365.856,14139.2,18368.654,28984.893
1.8,1.0,6342.0225,9355.678,14157.7705,18417.398,28974.314
