lambda,m,s,V,z
0.3,0.0,0,1848.759,0.4821849612390071
0.3,0.0,1,2670.9763,0.4821849612390071
0.3,0.0,2,6398.478,0.4821849612390071
0.3,0.0,3,11033.563,0.4821849612390071
0.3,0.0,4,27668.395,0.4821849612390071
0.3,0.5,0,4131.371,0.4787135758418206
0.3,0.5,1,5877.69,0.4787135758418206
0.3,0.5,2,14890.458,0.4787135758418206
0.3,0.5,3,25437.777,0.4787135758418206
0.3,0.5,4,56074.902,0.4787135758418206
0.3,1.0,0,4144.897,0.47776820228010886
0.3,1.0,1,5872.107,0.47776820228010886
0.3,1.0,2,15205.263,0.47776820228010886
0.3,1.0,3,25939.541,0.47776820228010886
0.3,1.0,4,55298.465,0.47776820228010886
0.9,0.0,0,2652.3674,0.4085588668150234
0.9,0.0,1,3908.5605,0.4085588668150234
0.9,0.0,2,6455.1206,0.4085588668150234
0.9,0.0,3,8879.312,0.4085588668150234
0.9,0.0,4,15661.747,0.4085588668150234
0.9,0.5,0,5873.6353,0.40710356160371386
0.9,0.5,1,8622.206,0.40710356160371386
0.9,0.5,2,14373.738,0.40710356160371386
0.9,0.5,3,19807.014,0.40710356160371386
0.9,0.5,4,33468.64,0.40710356160371386
0.9,1.0,0,5872.124,0.40650552524087646
0.9,1.0,1,8605.019,0.40650552524087646
0.9,1.0,2,14409.569,0.40650552524087646
0.9,1.0,3,19905.37,0.40650552524087646
0.9,1.0,4,33457.062,0.40650552524087646
1.5,0.0,0,2813.024,0.4226931435574196
1.5,0.0,1,4160.776,0.4226931435574196
1.5,0.0,2,6378.708,0.4226931435574196
1.5,0.0,3,8379.348,0.4226931435574196
1.5,0.0,4,13767.552,0.4226931435574196
1.5,0.5,0,6246.4697,0.4212645985360103
1.5,0.5,1,9215.752,0.4212645985360103
1.5,0.5,2,14190.448,0.4212645985360103
1.5,0.5,3,18655.824,0.4212645985360103
1.5,0.5,4,29843.375,0.4212645985360103
1.5,1.0,0,6246.819,0.4203915239226462
1.5,1.0,1,9204.343,0.4203915239226462
1.5,1.0,2,14212.313,0.4203915239226462
1.5,1.0,3,18714.232,0.4203915239226462
1.5,1.0,4,29831.994,0.4203915239226462
2.0,0.0,0,2873.5083,0.44452758337081266
2.0,0.0,1,4256.0776,0.44452758337081266
2.0,0.0,2,6345.135,0.44452758337081266
2.0,0.0,3,8191.9253,0.44452758337081266
2.0,0.0,4,13105.3955,0.44452758337081266
2.0,0.5,0,6388.2896,0.4431093184371885
2.0,0.5,1,9441.167,0.4431093184371885
2.0,0.5,2,14112.688,0.4431093184371885
2.0,0.5,3,18225.37,0.4431093184371885
2.0,0.5,4,28562.723,0.4431093184371885
2.0,1.0,0,6389.617,0.44213198426306743
2.0,1.0,1,9431.768,0.44213198426306743
2.0,1.0,2,14129.446,0.44213198426306743
2.0,1.0,3,18269.49,0.44213198426306743
2.0,1.0,4,28552.246,0.44213198426306743
2.5,0.0,0,2878.0457,0.469653037105734
2.5,0.0,1,4266.4175,0.469653037105734
2.5,0.0,2,6255.0063,0.469653037105734
2.5,0.0,3,7991.929,0.469653037105734
2.5,0.0,4,12582.633,0.469653037105734
2.5,0.5,0,6474.5015,0.4682413205891991
2.5,0.5,1,9576.538,0.4682413205891991
2.5,0.5,2,14064.39,0.4682413205891991
2.5,0.5,3,17966.936,0.4682413205891991
2.5,0.5,4,27814.682,0.4682413205891991
2.5,1.0,0,6474.289,0.46719895928106314
2.5,1.0,1,9570.086,0.46719895928106314
2.5,1.0,2,14075.531,0.46719895928106314
2.5,1.0,3,18005.422,0.46719895928106314
2.5,1.0,4,27803.014,0.46719895928106314
3.0,0.0,0,2913.2297,0.496423997798621
3.0,0.0,1,4320.873,0.496423997798621
3.0,0.0,2,6264.395,0.496423997798621
3.0,0.0,3,7948.3823,0.496423997798621
3.0,0.0,4,12380.917,0.496423997798621
3.0,0.5,0,6530.238,0.49501305333121803
3.0,0.5,1,9668.595,0.49501305333121803
3.0,0.5,2,14029.893,0.49501305333121803
3.0,0.5,3,17797.379,0.49501305333121803
3.0,0.5,4,27324.775,0.49501305333121803
3.0,1.0,0,6532.336,0.4939317322353285
3.0,1.0,1,9661.39,0.4939317322353285
3.0,1.0,2,14040.333,0.4939317322353285
3.0,1.0,3,17828.07,0.4939317322353285
3.0,1.0,4,27313.398,0.4939317322353285
