asset,lambda,m,label,t,w
SPX,0.3,0.1,g_mean,1,0.12040935833961057
SPX,0.3,0.1,g_mean,2,0.11966980247723091
SPX,0.3,0.1,g_mean,3,0.11934134292935503
SPX,0.3,0.1,g_mean,4,0.11914419758672581
SPX,0.3,0.1,g_mean,5,0.11901020495435141
SPX,0.3,0.1,g_mean,6,0.11891262850755736
SPX,0.3,0.1,g_mean,7,0.11883844486283211
SPX,0.3,0.1,g_mean,8,0.11878039511682877
SPX,0.3,0.1,g_mean,9,0.11873403959619766
SPX,0.3,0.1,g_mean,10,0.118696475201503
SPX,0.3,0.1,g_mean,11,0.11866570639856051
SPX,0.3,0.1,g_mean,12,0.11864030752061201
SPX,0.3,0.1,g_mean,13,0.11861922816999881
SPX,0.3,0.1,g_mean,14,0.11860167447560424
SPX,0.3,0.1,g_mean,15,0.11858703314995402
SPX,0.3,0.1,g_mean,16,0.11857482103199553
SPX,0.3,0.1,g_mean,17,0.11856465053751909
SPX,0.3,0.1,g_mean,18,0.11855620544965634
SPX,0.3,0.1,g_mean,19,0.11854922366755703
SPX,0.3,0.1,g_mean,20,0.11854348477986484
SPX,0.3,0.1,g_mean,21,0.11853880107187514
SPX,0.3,0.1,g_mean,22,0.1185350110302003
SPX,0.3,0.1,g_mean,23,0.11853197469418106
SPX,0.3,0.1,g_mean,24,0.11852957038634127
SPX,0.3,0.1,g_mean,25,0.11852769247476966
SPX,0.3,0.1,g_mean,26,0.11852624990250472
SPX,0.3,0.1,g_mean,27,0.11852516527735348
SPX,0.3,0.1,g_mean,28,0.11852437435887221
SPX,0.3,0.1,g_mean,29,0.11852382581288116
SPX,0.3,0.1,g_mean,30,0.11852348113130289
SPX,0.3,0.1,g_mean,31,0.11852331463858606
SPX,0.3,0.1,g_mean,32,0.11852331352707675
SPX,0.3,0.1,g_mean,33,0.11852347788347196
SPX,0.3,0.1,g_mean,34,0.1185238206876098
SPX,0.3,0.1,g_mean,35,0.11852436778373132
SPX,0.3,0.1,g_mean,36,0.11852515784325128
SPX,0.3,0.1,g_mean,37,0.1185262423572712
SPX,0.3,0.1,g_mean,38,0.11852768571696894
SPX,0.3,0.1,g_mean,39,0.11852956546127967
SPX,0.3,0.1,g_mean,40,0.11853197279500433
SPX,0.3,0.1,g_mean,41,0.11853501350819035
SPX,0.3,0.1,g_mean,42,0.1185388094615949
SPX,0.3,0.1,g_mean,43,0.11854350084665402
SPX,0.3,0.1,g_mean,44,0.11854924948694417
SPX,0.3,0.1,g_mean,45,0.11855624353028661
SPX,0.3,0.1,g_mean,46,0.11856470400065716
SPX,0.3,0.1,g_mean,47,0.1185748938603373
SPX,0.3,0.1,g_mean,48,0.11858713051350633
SPX,0.3,0.1,g_mean,49,0.11860180312590102
SPX,0.3,0.1,g_mean,50,0.11861939684975706
SPX,0.3,0.1,g_mean,51,0.11864052722789739
SPX,0.3,0.1,g_mean,52,0.11866599009722574
SPX,0.3,0.1,g_mean,53,0.11869683603904074
SPX,0.3,0.1,g_mean,54,0.11873448562693087
SPX,0.3,0.1,g_mean,55,0.11878091652732234
SPX,0.3,0.1,g_mean,56,0.11883898598226104
SPX,0.3,0.1,g_mean,57,0.11891302896088324
SPX,0.3,0.1,g_mean,58,0.11901007088007348
SPX,0.3,0.1,g_mean,59,0.11914257364503493
SPX,0.3,0.1,g_mean,60,0.11933568810285806
SPX,0.3,0.1,g_mean,61,0.1196520178980345
SPX,0.3,0.1,g_mean,62,0.12033023428281964
SPX,0.3,0.1,g_mean,63,0.1854992324529953
SPX,0.3,0.1,g_mean,64,0.18549925197613046
SPX,0.3,0.1,g_mean,65,0.18550006745619904
SPX,0.3,0.1,g_mean,66,0.19622628749122561
SPX,0.3,0.1,g_mean,67,0.19622655378960074
SPX,0.3,0.1,g_mean,68,0.19622855036303863
SPX,0.3,0.1,g_mean,69,0.19652487673299437
SPX,0.3,0.1,g_mean,70,0.19652498036570032
SPX,0.3,0.1,g_mean,71,0.12331917937404004
SPX,0.3,0.1,g_mean,72,0.12299719876618548
SPX,0.3,0.1,g_mean,73,0.12298993678297886
SPX,0.3,0.1,g_mean,74,0.12298786790022173
SPX,0.3,0.1,g_mean,75,0.1229869962670064
SPX,0.3,0.1,g_mean,76,0.12298695208595915
SPX,0.3,0.1,g_mean,77,0.12240982675421168
SPX,0.3,0.1,g_mean,78,0.12221453194219983
SPX,0.3,0.1,g_mean,79,0.12220533844282158
SPX,0.3,0.1,g_mean,80,0.1222033326774019
SPX,0.3,0.1,g_mean,81,0.12220271119410687
SPX,0.3,0.1,g_mean,82,0.12220265817204476
SPX,0.3,0.1,g_mean,83,0.12220273559308602
SPX,0.3,0.1,g_mean,84,0.12220294022407441
SPX,0.3,0.1,g_mean,85,0.12220383628224672
SPX,0.3,0.1,g_mean,86,0.12220533494438136
SPX,0.3,0.1,g_mean,87,0.2874647000564907
SPX,0.3,0.1,g_mean,88,0.2874658612336474
SPX,0.3,0.1,g_mean,89,0.287466008390462
SPX,0.3,0.1,g_mean,90,0.3015246410229064
SPX,0.3,0.1,g_mean,91,0.3015267185320299
SPX,0.3,0.1,g_mean,92,0.3015270822518173
SPX,0.3,0.1,g_mean,93,0.3015268705848067
SPX,0.3,0.1,g_mean,94,0.301525615559311
SPX,0.3,0.1,g_mean,95,0.1736476951300447
SPX,0.3,0.1,g_mean,96,0.1736453879136958
SPX,0.3,0.1,g_mean,97,0.17364514706513998
SPX,0.3,0.1,g_mean,98,0.1609703191225286
SPX,0.3,0.1,g_mean,99,0.1609689807576028
SPX,0.3,0.1,g_mean,100,0.16096891147861478
SPX,0.3,0.1,g_mean,101,0.16096974840855793
SPX,0.3,0.1,g_mean,102,0.24036610464716648
SPX,0.3,0.1,g_mean,103,0.24036670116316897
SPX,0.3,0.1,g_mean,104,0.24036601801015658
SPX,0.3,0.1,g_mean,105,0.2346699508020048
SPX,0.3,0.1,g_mean,106,0.23466923261423045
SPX,0.3,0.1,g_mean,107,0.23466978844013428
SPX,0.3,0.1,g_mean,108,0.24377245919230184
SPX,0.3,0.1,g_mean,109,0.2437731615248585
SPX,0.3,0.1,g_mean,110,0.24377265778401894
SPX,0.3,0.1,g_mean,111,0.24377317533254425
SPX,0.3,0.1,g_mean,112,0.26992149827278955
SPX,0.3,0.1,g_mean,113,0.2699222650819547
SPX,0.3,0.1,g_mean,114,0.26992211241686803
SPX,0.3,0.1,g_mean,115,0.26992475250923836
SPX,0.3,0.1,g_mean,116,0.2699249559973146
SPX,0.3,0.1,g_mean,117,0.26992426690442556
SPX,0.3,0.1,g_mean,118,0.20102292178181477
SPX,0.3,0.1,g_mean,119,0.20102137920762597
SPX,0.3,0.1,g_mean,120,0.20102103701772578
SPX,0.3,0.1,g_mean,121,0.19895819774438414
SPX,0.3,0.1,g_mean,122,0.19895602109289715
SPX,0.3,0.1,g_mean,123,0.1989558221251537
SPX,0.3,0.1,g_mean,124,0.11947975687039283
SPX,0.3,0.1,g_mean,125,0.11875899139720086
SPX,0.3,0.1,g_mean,126,0.1187489928061365
SPX,0.3,0.1,g_mean,127,0.11874636120722189
SPX,0.3,0.1,g_mean,128,0.11874526416445642
SPX,0.3,0.1,g_mean,129,0.11874477362893818
SPX,0.3,0.1,g_mean,130,0.11874501023623169
SPX,0.3,0.1,g_mean,131,0.11868457808354846
SPX,0.3,0.1,g_mean,132,0.11863945646163833
SPX,0.3,0.1,g_mean,133,0.11860650749499313
SPX,0.3,0.1,g_mean,134,0.1185827460343526
SPX,0.3,0.1,g_mean,135,0.11856601753924809
SPX,0.3,0.1,g_mean,136,0.11856285676726434
SPX,0.3,0.1,g_mean,137,0.11856187954975593
SPX,0.3,0.1,g_mean,138,0.11856116012927365
SPX,0.3,0.1,g_mean,139,0.11856064926216586
SPX,0.3,0.1,g_mean,140,0.11856064287428095
SPX,0.3,0.1,g_mean,141,0.11856113192611484
SPX,0.3,0.1,g_mean,142,0.11856287542501481
SPX,0.3,0.1,g_mean,143,0.29624490341387644
SPX,0.3,0.1,g_mean,144,0.29624615198359944
SPX,0.3,0.1,g_mean,145,0.29624635666394944
SPX,0.3,0.1,g_mean,146,0.29624598913840156
SPX,0.3,0.1,g_mean,147,0.29624856564711954
SPX,0.3,0.1,g_mean,148,0.29624899583572134
SPX,0.3,0.1,g_mean,149,0.29624882421659005
SPX,0.3,0.1,g_mean,150,0.2962476383920402
SPX,0.3,0.1,g_mean,151,0.17907333960666208
SPX,0.3,0.1,g_mean,152,0.17907075999072108
