lambda,m,s,V,z
0.3,0.1,0,3474.8071,0.4612394275035787
0.3,0.1,1,6322.076,0.4612394275035787
0.3,0.1,2,11784.705,0.4612394275035787
0.3,0.1,3,21993.822,0.4612394275035787
0.3,0.1,4,38752.566,0.4612394275035787
0.3,0.5,0,4144.059,0.45146001707130323
0.3,0.5,1,7097.169,0.45146001707130323
0.3,0.5,2,12464.691,0.45146001707130323
0.3,0.5,3,24267.154,0.45146001707130323
0.3,0.5,4,42808.594,0.45146001707130323
0.3,1.0,0,4417.994,0.44826451336482875
0.3,1.0,1,7128.5576,0.44826451336482875
0.3,1.0,2,12787.39,0.44826451336482875
0.3,1.0,3,24622.115,0.44826451336482875
0.3,1.0,4,43870.633,0.44826451336482875
0.9,0.1,0,5243.137,0.3960096187081592
0.9,0.1,1,8262.696,0.3960096187081592
0.9,0.1,2,12594.22,0.3960096187081592
0.9,0.1,3,18908.182,0.3960096187081592
0.9,0.1,4,30045.1,0.3960096187081592
0.9,0.5,0,5737.056,0.39217495916334555
0.9,0.5,1,8805.617,0.39217495916334555
0.9,0.5,2,13208.369,0.39217495916334555
0.9,0.5,3,19794.758,0.39217495916334555
0.9,0.5,4,31554.93,0.39217495916334555
0.9,1.0,0,5845.774,0.3911222743531362
0.9,1.0,1,8813.387,0.3911222743531362
0.9,1.0,2,13273.324,0.3911222743531362
0.9,1.0,3,19912.947,0.3911222743531362
0.9,1.0,4,31871.504,0.3911222743531362
1.2,0.1,0,5593.1143,0.3969525040470825
1.2,0.1,1,8644.39,0.3969525040470825
1.2,0.1,2,12899.003,0.3969525040470825
1.2,0.1,3,18553.467,0.3969525040470825
1.2,0.1,4,28841.639,0.3969525040470825
1.2,0.5,0,5983.4033,0.393694566438153
1.2,0.5,1,9090.271,0.393694566438153
1.2,0.5,2,13407.408,0.393694566438153
1.2,0.5,3,19169.293,0.393694566438153
1.2,0.5,4,30008.312,0.393694566438153
1.2,1.0,0,6063.9575,0.3925871562310352
1.2,1.0,1,9095.953,0.3925871562310352
1.2,1.0,2,13447.682,0.3925871562310352
1.2,1.0,3,19262.045,0.3925871562310352
1.2,1.0,4,30249.488,0.3925871562310352
1.5,0.1,0,5808.536,0.40270920668962795
1.5,0.1,1,8877.637,0.40270920668962795
1.5,0.1,2,13076.506,0.40270920668962795
1.5,0.1,3,18347.303,0.40270920668962795
1.5,0.1,4,28114.166,0.40270920668962795
1.5,0.5,0,6135.0146,0.3997311101932616
1.5,0.5,1,9256.881,0.3997311101932616
1.5,0.5,2,13538.239,0.3997311101932616
1.5,0.5,3,18795.316,0.3997311101932616
1.5,0.5,4,29093.059,0.3997311101932616
1.5,1.0,0,6199.6606,0.3985846402115105
1.5,1.0,1,9267.628,0.3985846402115105
1.5,1.0,2,13553.058,0.3985846402115105
1.5,1.0,3,18872.068,0.3985846402115105
1.5,1.0,4,29305.004,0.3985846402115105
1.8,0.1,0,5947.4453,0.4108894663048035
1.8,0.1,1,9034.731,0.4108894663048035
1.8,0.1,2,13194.06,0.4108894663048035
1.8,0.1,3,18219.27,0.4108894663048035
1.8,0.1,4,27626.395,0.4108894663048035
1.8,0.5,0,6229.79,0.4080332814038963
1.8,0.5,1,9360.744,0.4080332814038963
1.8,0.5,2,13616.326,0.4080332814038963
1.8,0.5,3,18543.65,0.4080332814038963
1.8,0.5,4,28457.088,0.4080332814038963
1.8,1.0,0,6292.1045,0.4068486675693379
1.8,1.0,1,9384.429,0.4068486675693379
1.8,1.0,2,13623.182,0.4068486675693379
1.8,1.0,3,18613.883,0.4068486675693379
1.8,1.0,4,28679.018,0.4068486675693379
