t,bear,bull
1,0.3118,0.6882
2,0.5972,0.4028
3,0.4676,0.5324
4,0.5188,0.4812
5,0.471,0.529
6,0.3466,0.6534
7,0.5872,0.4128
8,0.5058,0.4942
9,0.718,0.282
10,0.4838,0.5162
11,0.455,0.545
12,0.2594,0.7406
13,0.2316,0.7684
14,0.2054,0.7946
15,0.1528,0.8472
16,0.1742,0.8258
17,0.539,0.461
18,0.4428,0.5572
19,0.3138,0.6862
20,0.251,0.749
21,0.7012,0.2988
22,0.474,0.526
23,0.3086,0.6914
24,0.2976,0.7024
25,0.2362,0.7638
26,0.405,0.595
27,0.249,0.751
28,0.184,0.816
29,0.2464,0.7536
30,0.168,0.832
31,0.3258,0.6742
32,0.2288,0.7712
33,0.2202,0.7798
34,0.1876,0.8124
35,0.152,0.848
36,0.1576,0.8424
37,0.3082,0.6918
38,0.196,0.804
39,0.263,0.737
40,0.212,0.788
41,0.1774,0.8226
42,0.1852,0.8148
43,0.1484,0.8516
44,0.1408,0.8592
45,0.133,0.867
46,0.1346,0.8654
47,0.1718,0.8282
48,0.1614,0.8386
49,0.152,0.848
50,0.2024,0.7976
51,0.152,0.848
52,0.1506,0.8494
53,0.18,0.82
54,0.2344,0.7656
55,0.1618,0.8382
56,0.4726,0.5274
57,0.2624,0.7376
58,0.2056,0.7944
59,0.1598,0.8402
60,0.1576,0.8424
61,0.1364,0.8636
62,0.1214,0.8786
63,0.1402,0.8598
64,0.1312,0.8688
65,0.1224,0.8776
66,0.1224,0.8776
67,0.1626,0.8374
68,0.1476,0.8524
69,0.1242,0.8758
70,0.1168,0.8832
71,0.1216,0.8784
72,0.5146,0.4854
73,0.3082,0.6918
74,0.2238,0.7762
75,0.1578,0.8422
76,0.1328,0.8672
77,0.6294,0.3706
78,0.3468,0.6532
79,0.3134,0.6866
80,0.2528,0.7472
81,0.2104,0.7896
82,0.2022,0.7978
83,0.1686,0.8314
84,0.1446,0.8554
85,0.162,0.838
86,0.2492,0.7508
87,0.1926,0.8074
88,0.1496,0.8504
89,0.1502,0.8498
90,0.1838,0.8162
91,0.1628,0.8372
92,0.1386,0.8614
93,0.1278,0.8722
94,0.1314,0.8686
95,0.1294,0.8706
96,0.1552,0.8448
97,0.1266,0.8734
98,0.516,0.484
99,0.2958,0.7042
100,0.209,0.791
101,0.1628,0.8372
102,0.17,0.83
103,0.1674,0.8326
104,0.1512,0.8488
105,0.1606,0.8394
106,0.1558,0.8442
107,0.1862,0.8138
108,0.202,0.798
109,0.159,0.841
110,0.1458,0.8542
111,0.1674,0.8326
112,0.8298,0.1702
113,0.1646,0.8354
114,0.1582,0.8418
115,0.1834,0.8166
116,0.479,0.521
117,0.2536,0.7464
118,0.8038,0.1962
119,0.1632,0.8368
120,0.171,0.829
121,0.2298,0.7702
122,0.1604,0.8396
123,0.1558,0.8442
124,0.206,0.794
125,0.1752,0.8248
126,0.136,0.864
127,0.148,0.852
128,0.1468,0.8532
129,0.1524,0.8476
130,0.18,0.82
131,0.146,0.854
132,0.1398,0.8602
133,0.1296,0.8704
134,0.1278,0.8722
135,0.8666,0.1334
136,0.1316,0.8684
137,0.1352,0.8648
138,0.1924,0.8076
139,0.144,0.856
140,0.14,0.86
141,0.1232,0.8768
142,0.132,0.868
143,0.1348,0.8652
144,0.1346,0.8654
145,0.8856,0.1144
146,0.1434,0.8566
147,0.1496,0.8504
148,0.1712,0.8288
149,0.1506,0.8494
150,0.1328,0.8672
151,0.1312,0.8688
152,0.1264,0.8736
153,0.1406,0.8594
154,0.171,0.829
155,0.1392,0.8608
156,0.118,0.882
157,0.1298,0.8702
158,0.1212,0.8788
159,0.1216,0.8784
160,0.1328,0.8672
161,0.1322,0.8678
162,0.1238,0.8762
163,0.1238,0.8762
