t,ret_semanal_spx
1,0.01810157
2,-0.014864083
3,0.019244396
4,-0.03368102
5,0.045419857
6,0.012273763
7,-0.007172121
8,-0.024764622
9,0.008046477
10,0.02605067
11,-0.007698179
12,0.015579104
13,0.011340565
14,0.026737168
15,0.013632294
16,-0.001267158
17,0.000239196
18,0.012225392
19,-0.01397759
20,-0.004319541
21,0.011543232
22,0.006113435
23,0.004140414
24,-0.019252034
25,0.027052192
26,0.016597002
27,0.003946389
28,-0.00974851
29,0.019369038
30,-0.003753877
31,0.009343656
32,0.007070591
33,-0.005910467
34,0.015127066
35,0.005762456
36,-0.017089589
37,-0.005755994
38,0.005060442
39,-0.022341858
40,0.007841447
41,0.018060491
42,0.016310828
43,0.013219456
44,0.019811633
45,-0.003129873
46,0.003221444
47,-0.022242284
48,-0.012304903
49,0.037535519
50,-0.019583442
51,0.022501498
52,0.008510431
53,-0.018881935
54,-0.003036377
55,-0.058490634
56,0.00768089
57,0.015377994
58,-0.018363133
59,-0.015915919
60,0.008193715
61,-0.012803218
62,-0.029196362
63,0.059737896
64,0.017752707
65,0.000616092
66,-0.012747392
67,-0.021550512
68,-0.027888443
69,-0.033285899
70,-0.002081176
71,-0.024414407
72,-0.030923832
73,0.063766726
74,-0.01202422
75,-0.051870675
76,-0.059687451
77,0.062472667
78,-0.022337527
79,0.019172778
80,-0.009332057
81,0.025170048
82,0.041692105
83,0.00360098
84,0.032039421
85,-0.012145447
86,-0.041236155
87,-0.03342863
88,0.035816366
89,-0.048879544
90,-0.047613214
91,-0.029569974
92,0.014958812
93,-0.015670253
94,0.046268911
95,0.038759422
96,-0.034027434
97,0.057304388
98,-0.006933656
99,0.015211538
100,0.011257429
101,-0.034307311
102,-0.021067304
103,-0.00195917
104,-0.001384656
105,0.014372089
106,0.026352619
107,-0.006643521
108,0.02435726
109,0.016064583
110,-0.011187756
111,-0.002783478
112,-0.027097766
113,0.018863551
114,-0.046560693
115,0.014155077
116,0.013781315
117,0.034239714
118,-0.001044526
119,0.00791499
120,-0.000996261
121,0.008661974
122,-0.008001743
123,-0.002946597
124,0.016330188
125,0.003208178
126,0.018125272
127,0.003843217
128,0.02543184
129,-0.013989798
130,0.023197578
131,-0.011623539
132,0.023915179
133,0.006839386
134,0.01006529
135,-0.023002605
136,-0.003126788
137,-0.021359746
138,0.008204782
139,0.024674301
140,-0.012989839
141,-0.001609916
142,-0.02970666
143,-0.007437266
144,0.004757777
145,0.004464843
146,-0.024234197
147,-0.025605823
148,0.056876577
149,0.012971031
150,0.022125868
151,0.009989729
152,0.007710363
153,0.002117673
154,0.024631284
155,0.007481693
156,0.003191826
157,-0.015335529
158,0.018266345
159,0.011633979
160,0.010515216
161,0.01373474
162,0.013620341
163,0.013620341
