L,C,lambda,c_mult,z,cap_final,ret_acum
L1,C1,0.05,0.5,0.628375,7953.09,-0.204691
L1,C2,0.05,1.0,0.624625,7953.09,-0.204691
L1,C3,0.05,2.0,0.617125,7953.09,-0.204691
L2,C1,0.1,0.5,0.576554,7953.09,-0.204691
L2,C2,0.1,1.0,0.572804,7953.09,-0.204691
L2,C3,0.1,2.0,0.565304,7953.09,-0.204691
L3,C1,0.2,0.5,0.476068,8974.98,-0.102502
L3,C2,0.2,1.0,0.471307,9000.76,-0.099924
L3,C3,0.2,2.0,0.464296,9120.32,-0.087968
L4,C1,0.5,0.5,0.354002,12922.31,0.292231
L4,C2,0.5,1.0,0.352569,13106.64,0.310664
L4,C3,0.5,2.0,0.350652,12950.74,0.295074
L5,C1,1.0,0.5,0.284709,14508.79,0.450879
L5,C2,1.0,1.0,0.282262,14562.53,0.456253
L5,C3,1.0,2.0,0.277631,14574.93,0.457493
